Latitude (decimal degrees):	45.961
Longitude (decimal degrees):	8.682
Elevation (m):	216
Radiation database:	PVGIS-SARAH3


Slope: 22 deg. 
Azimuth: -70 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	0.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,6.48,1.03,0.0
20230101:0110,0.0,0.0,0.0,6.53,1.03,0.0
20230101:0210,0.0,0.0,0.0,6.58,1.03,0.0
20230101:0310,0.0,0.0,0.0,6.6,1.03,0.0
20230101:0410,0.0,0.0,0.0,6.54,1.03,0.0
20230101:0510,0.0,0.0,0.0,6.61,1.03,0.0
20230101:0610,0.0,0.0,0.0,6.6,1.03,0.0
20230101:0710,0.0,0.0,0.0,6.52,0.9,0.0
20230101:0810,25.96,39.76,7.73,6.73,0.9,0.0
20230101:0910,23.32,36.88,14.25,7.29,0.76,0.0
20230101:1010,118.99,135.09,18.79,8.18,0.69,0.0
20230101:1110,127.0,143.68,20.91,9.03,0.62,0.0
20230101:1210,162.83,180.44,20.38,9.19,0.69,0.0
20230101:1310,79.8,96.92,17.25,9.77,0.69,0.0
20230101:1410,18.0,31.06,11.87,9.74,0.76,0.0
20230101:1510,10.46,21.77,4.68,9.42,0.83,0.0
20230101:1610,0.0,0.0,0.0,8.71,0.9,0.0
20230101:1710,0.0,0.0,0.0,8.05,0.97,0.0
20230101:1810,0.0,0.0,0.0,7.69,0.97,0.0
20230101:1910,0.0,0.0,0.0,7.71,0.83,0.0
20230101:2010,0.0,0.0,0.0,7.57,0.83,0.0
20230101:2110,0.0,0.0,0.0,7.44,0.83,0.0
20230101:2210,0.0,0.0,0.0,7.37,0.83,0.0
20230101:2310,0.0,0.0,0.0,7.17,0.9,0.0
20230102:0010,0.0,0.0,0.0,7.27,0.9,0.0
20230102:0110,0.0,0.0,0.0,7.33,0.9,0.0
20230102:0210,0.0,0.0,0.0,7.42,0.83,0.0
20230102:0310,0.0,0.0,0.0,7.48,0.83,0.0
20230102:0410,0.0,0.0,0.0,7.39,0.9,0.0
20230102:0510,0.0,0.0,0.0,7.46,0.9,0.0
20230102:0610,0.0,0.0,0.0,7.52,0.9,0.0
20230102:0710,0.0,0.0,0.0,7.53,0.69,0.0
20230102:0810,1.41,8.52,7.74,7.8,0.55,0.0
20230102:0910,16.52,29.12,14.29,8.06,0.55,0.0
20230102:1010,35.42,50.47,18.85,8.79,0.48,0.0
20230102:1110,45.36,61.15,20.99,9.2,0.55,0.0
20230102:1210,42.54,58.24,20.47,9.54,0.62,0.0
20230102:1310,57.36,73.77,17.37,9.59,0.69,0.0
20230102:1410,49.97,66.57,11.99,9.73,0.62,0.0
20230102:1510,6.22,16.09,4.81,9.32,0.55,0.0
20230102:1610,0.0,0.0,0.0,8.85,0.76,0.0
20230102:1710,0.0,0.0,0.0,8.45,0.83,0.0
20230102:1810,0.0,0.0,0.0,8.23,0.83,0.0
20230102:1910,0.0,0.0,0.0,8.22,0.69,0.0
20230102:2010,0.0,0.0,0.0,8.14,0.69,0.0
20230102:2110,0.0,0.0,0.0,7.96,0.76,0.0
20230102:2210,0.0,0.0,0.0,7.76,0.83,0.0
20230102:2310,0.0,0.0,0.0,7.62,0.83,0.0
20230103:0010,0.0,0.0,0.0,7.48,0.83,0.0
20230103:0110,0.0,0.0,0.0,7.49,0.83,0.0
20230103:0210,0.0,0.0,0.0,7.47,0.76,0.0
20230103:0310,0.0,0.0,0.0,7.5,0.76,0.0
20230103:0410,0.0,0.0,0.0,7.47,0.69,0.0
20230103:0510,0.0,0.0,0.0,7.51,0.62,0.0
20230103:0610,0.0,0.0,0.0,7.6,0.55,0.0
20230103:0710,0.0,0.0,0.0,7.51,0.62,0.0
20230103:0810,18.36,31.24,7.77,7.64,0.62,0.0
20230103:0910,62.0,78.08,14.34,8.03,0.48,0.0
20230103:1010,39.96,55.33,18.91,8.67,0.34,0.0
20230103:1110,50.94,66.97,21.07,8.99,0.28,0.0
20230103:1210,99.58,116.66,20.58,9.37,0.28,0.0
20230103:1310,39.79,55.33,17.49,9.5,0.28,0.0
20230103:1410,57.54,75.18,12.12,9.71,0.21,0.0
20230103:1510,1.39,8.52,4.94,9.75,0.14,0.0
20230103:1610,0.0,0.0,0.0,9.37,0.28,0.0
20230103:1710,0.0,0.0,0.0,8.56,0.62,0.0
20230103:1810,0.0,0.0,0.0,7.6,0.83,0.0
20230103:1910,0.0,0.0,0.0,7.36,0.9,0.0
20230103:2010,0.0,0.0,0.0,6.03,1.1,0.0
20230103:2110,0.0,0.0,0.0,4.95,1.17,0.0
20230103:2210,0.0,0.0,0.0,3.96,1.24,0.0
20230103:2310,0.0,0.0,0.0,3.03,1.31,0.0
20230104:0010,0.0,0.0,0.0,2.14,1.31,0.0
20230104:0110,0.0,0.0,0.0,0.9,1.38,0.0
20230104:0210,0.0,0.0,0.0,0.62,1.45,0.0
20230104:0310,0.0,0.0,0.0,0.31,1.45,0.0
20230104:0410,0.0,0.0,0.0,0.4,1.38,0.0
20230104:0510,0.0,0.0,0.0,0.13,1.31,0.0
20230104:0610,0.0,0.0,0.0,0.17,1.38,0.0
20230104:0710,0.0,0.0,0.0,1.38,1.38,0.0
20230104:0810,23.21,35.97,7.8,1.53,1.38,0.0
20230104:0910,454.97,460.5,14.39,3.11,1.17,0.0
20230104:1010,477.2,489.39,18.99,5.24,0.9,0.0
20230104:1110,421.65,442.41,21.17,7.86,0.62,0.0
20230104:1210,265.05,288.61,20.69,9.67,0.28,0.0
20230104:1310,145.01,168.02,17.61,10.33,0.21,0.0
20230104:1410,60.23,78.12,12.26,10.31,0.48,0.0
20230104:1510,15.76,28.4,5.08,9.79,0.62,0.0
20230104:1610,0.0,0.0,0.0,8.91,0.55,0.0
20230104:1710,0.0,0.0,0.0,8.28,0.28,0.0
20230104:1810,0.0,0.0,0.0,7.67,0.21,0.0
20230104:1910,0.0,0.0,0.0,7.63,0.62,0.0
20230104:2010,0.0,0.0,0.0,7.03,0.76,0.0
20230104:2110,0.0,0.0,0.0,6.03,0.97,0.0
20230104:2210,0.0,0.0,0.0,5.5,1.03,0.0
20230104:2310,0.0,0.0,0.0,5.09,1.03,0.0
20230105:0010,0.0,0.0,0.0,4.77,1.1,0.0
20230105:0110,0.0,0.0,0.0,4.33,1.1,0.0
20230105:0210,0.0,0.0,0.0,4.11,1.17,0.0
20230105:0310,0.0,0.0,0.0,4.02,1.24,0.0
20230105:0410,0.0,0.0,0.0,3.79,1.24,0.0
20230105:0510,0.0,0.0,0.0,3.49,1.31,0.0
20230105:0610,0.0,0.0,0.0,3.27,1.31,0.0
20230105:0710,0.0,0.0,0.0,4.07,1.17,0.0
20230105:0810,22.89,35.97,7.84,4.14,1.17,0.0
20230105:0910,39.63,54.35,14.44,5.9,0.83,0.0
20230105:1010,122.57,138.97,19.07,8.75,0.62,0.0
20230105:1110,178.15,195.68,21.27,10.48,0.62,0.0
20230105:1210,171.43,191.06,20.81,11.73,0.76,0.0
20230105:1310,161.61,190.0,17.75,12.61,0.76,0.0
20230105:1410,47.69,93.2,12.4,12.92,0.62,0.0
20230105:1510,6.78,17.04,5.23,12.09,0.55,0.0
20230105:1610,0.0,0.0,0.0,10.12,0.9,0.0
20230105:1710,0.0,0.0,0.0,8.71,1.31,0.0
20230105:1810,0.0,0.0,0.0,6.65,1.59,0.0
20230105:1910,0.0,0.0,0.0,5.44,1.66,0.0
20230105:2010,0.0,0.0,0.0,4.58,1.72,0.0
20230105:2110,0.0,0.0,0.0,3.9,1.72,0.0
20230105:2210,0.0,0.0,0.0,3.43,1.59,0.0
20230105:2310,0.0,0.0,0.0,2.46,1.59,0.0
20230106:0010,0.0,0.0,0.0,1.58,1.52,0.0
20230106:0110,0.0,0.0,0.0,0.8,1.45,0.0
20230106:0210,0.0,0.0,0.0,0.11,1.31,0.0
20230106:0310,0.0,0.0,0.0,0.06,1.31,0.0
20230106:0410,0.0,0.0,0.0,0.15,1.24,0.0
20230106:0510,0.0,0.0,0.0,0.16,1.24,0.0
20230106:0610,0.0,0.0,0.0,0.06,1.24,0.0
20230106:0710,0.0,0.0,0.0,0.31,1.24,0.0
20230106:0810,36.63,50.18,7.88,0.73,1.17,0.0
20230106:0910,99.59,113.08,14.51,2.57,1.03,0.0
20230106:1010,97.34,112.45,19.15,5.5,0.62,0.0
20230106:1110,92.09,108.71,21.38,8.47,0.21,0.0
20230106:1210,88.58,105.8,20.94,9.98,0.41,0.0
20230106:1310,70.32,87.36,17.89,10.33,0.55,0.0
20230106:1410,37.87,53.38,12.55,10.2,0.62,0.0
20230106:1510,14.22,26.51,5.38,9.58,0.55,0.0
20230106:1610,0.0,0.0,0.0,8.62,0.41,0.0
20230106:1710,0.0,0.0,0.0,7.74,0.07,0.0
20230106:1810,0.0,0.0,0.0,6.92,0.34,0.0
20230106:1910,0.0,0.0,0.0,5.05,0.62,0.0
20230106:2010,0.0,0.0,0.0,4.6,0.76,0.0
20230106:2110,0.0,0.0,0.0,3.98,0.9,0.0
20230106:2210,0.0,0.0,0.0,3.7,0.83,0.0
20230106:2310,0.0,0.0,0.0,2.31,0.97,0.0
20230107:0010,0.0,0.0,0.0,0.04,1.03,0.0
20230107:0110,0.0,0.0,0.0,-0.03,1.03,0.0
20230107:0210,0.0,0.0,0.0,0.04,1.1,0.0
20230107:0310,0.0,0.0,0.0,-0.17,1.1,0.0
20230107:0410,0.0,0.0,0.0,-0.19,1.1,0.0
20230107:0510,0.0,0.0,0.0,-0.03,1.1,0.0
20230107:0610,0.0,0.0,0.0,-0.25,1.17,0.0
20230107:0710,0.0,0.0,0.0,0.92,1.17,0.0
20230107:0810,38.32,52.07,7.93,1.47,1.1,0.0
20230107:0910,246.73,254.3,14.58,2.94,0.9,0.0
20230107:1010,203.89,216.34,19.25,5.79,0.55,0.0
20230107:1110,346.93,363.54,21.5,7.15,0.21,0.0
20230107:1210,359.64,390.51,21.08,7.96,0.21,0.0
20230107:1310,203.27,245.57,18.04,8.21,0.28,0.0
20230107:1410,69.32,103.84,12.7,8.38,0.28,0.0
20230107:1510,19.12,32.19,5.54,8.06,0.21,0.0
20230107:1610,0.0,0.0,0.0,7.69,0.07,0.0
20230107:1710,0.0,0.0,0.0,7.35,0.28,0.0
20230107:1810,0.0,0.0,0.0,6.88,0.48,0.0
20230107:1910,0.0,0.0,0.0,5.82,0.55,0.0
20230107:2010,0.0,0.0,0.0,5.64,0.62,0.0
20230107:2110,0.0,0.0,0.0,5.49,0.76,0.0
